Designator,Mid X,Mid Y,Rotation,Layer
D1,63.554036,-108.785786,180.0,top
D10,120.554036,-112.785786,180.0,top
D11,139.554036,-119.785786,180.0,top
D12,158.554036,-121.785786,180.0,top
D13,63.554036,-146.785786,180.0,top
D14,82.554036,-146.785786,180.0,top
D15,101.554036,-136.785786,180.0,top
D16,120.554036,-131.785786,180.0,top
D17,139.554036,-138.785786,180.0,top
D18,158.554036,-140.785786,180.0,top
D19,63.554036,-165.785786,180.0,top
D2,82.554036,-108.785786,180.0,top
D20,82.554036,-165.785786,180.0,top
D21,101.554036,-155.785786,180.0,top
D22,120.554036,-150.785786,180.0,top
D23,139.554036,-157.785786,180.0,top
D24,158.554036,-159.785786,180.0,top
D25,132.1701017277616,-192.5807431298103,205.0,top
D26,156.773884,-187.381039,180.0,top
D27,181.3836157277616,-192.55390687018973,155.0,top
D28,345.554036,-108.785786,180.0,top
D29,345.554036,-127.785786,180.0,top
D3,101.554036,-98.785786,180.0,top
D30,345.554036,-146.785786,180.0,top
D31,345.554036,-165.785786,180.0,top
D32,326.554036,-108.785786,180.0,top
D33,326.554036,-127.785786,180.0,top
D34,326.554036,-146.785786,180.0,top
D35,326.554036,-165.785786,180.0,top
D36,307.554036,-98.785786,180.0,top
D37,307.554036,-117.785786,180.0,top
D38,307.554036,-136.785786,180.0,top
D39,307.554036,-155.785786,180.0,top
D4,120.554036,-93.785786,180.0,top
D40,288.554036,-93.785786,180.0,top
D41,288.554036,-112.785786,180.0,top
D42,288.554036,-131.785786,180.0,top
D43,288.554036,-150.785786,180.0,top
D44,276.95701072776154,-192.57236787018974,155.0,top
D45,269.554036,-100.785786,180.0,top
D46,269.554036,-119.785786,180.0,top
D47,269.554036,-138.785786,180.0,top
D48,269.554036,-157.785786,180.0,top
D49,252.354036,-187.385786,180.0,top
D5,139.554036,-100.785786,180.0,top
D50,250.554036,-102.785786,180.0,top
D51,250.554036,-121.785786,180.0,top
D52,250.554036,-140.785786,180.0,top
D53,250.554036,-159.785786,180.0,top
D54,227.7304057277616,-192.5807431298103,205.0,top
D6,158.554036,-102.785786,180.0,top
D7,63.554036,-127.785786,180.0,top
D8,82.554036,-127.785786,180.0,top
D9,101.554036,-117.785786,180.0,top
H1,73.085786,-113.285786,0.0,top
H10,260.085786,-145.285786,0.0,top
H11,266.615938,-182.381039,0.0,top
H12,238.115938,-182.381039,0.0,top
H2,149.085786,-107.285786,0.0,top
H3,73.085786,-151.285786,0.0,top
H4,149.085786,-145.285786,0.0,top
H5,142.555634,-182.381039,0.0,top
H6,171.055634,-182.381039,0.0,top
H7,336.085786,-113.285786,0.0,top
H8,260.085786,-107.285786,0.0,top
H9,336.085786,-151.285786,0.0,top
J2,192.785786,-102.335786,180.0,bottom
J3,195.195786,-94.768286,180.0,top
J5,216.385786,-102.535786,180.0,bottom
J6,214.035786,-94.768286,180.0,top
S1,63.585786,-103.785786,0.0,top
S10,120.585786,-107.785786,0.0,top
S11,139.585786,-114.785786,0.0,top
S12,158.585786,-116.785786,0.0,top
S13,63.585786,-141.785786,0.0,top
S14,82.585786,-141.785786,0.0,top
S15,101.585786,-131.785786,0.0,top
S16,120.585786,-126.785786,0.0,top
S17,139.585786,-133.785786,0.0,top
S18,158.585786,-135.785786,0.0,top
S19,63.585786,-160.785786,0.0,top
S2,82.585786,-103.785786,0.0,top
S20,82.585786,-160.785786,0.0,top
S21,101.585786,-150.785786,0.0,top
S22,120.585786,-145.785786,0.0,top
S23,139.585786,-152.785786,0.0,top
S24,158.585786,-154.785786,0.0,top
S25,130.085786,-188.035786,25.0,top
S26,156.785786,-182.385786,0.0,top
S27,183.525482,-188.035786,335.0,top
S28,345.585786,-103.785786,0.0,top
S29,345.585786,-122.785786,0.0,top
S3,101.585786,-93.785786,0.0,top
S30,345.585786,-141.785786,0.0,top
S31,345.585786,-160.785786,0.0,top
S32,326.585786,-103.785786,0.0,top
S33,326.585786,-122.785786,0.0,top
S34,326.585786,-141.785786,0.0,top
S35,326.585786,-160.785786,0.0,top
S36,307.585786,-93.785786,0.0,top
S37,307.585786,-112.785786,0.0,top
S38,307.585786,-131.785786,0.0,top
S39,307.585786,-150.785786,0.0,top
S4,120.585786,-88.785786,0.0,top
S40,288.585786,-88.785786,0.0,top
S41,288.585786,-107.785786,0.0,top
S42,288.585786,-126.785786,0.0,top
S43,288.585786,-145.785786,0.0,top
S44,279.085786,-188.035786,335.0,top
S45,269.585786,-95.785786,0.0,top
S46,269.585786,-114.785786,0.0,top
S47,269.585786,-133.785786,0.0,top
S48,269.585786,-152.785786,0.0,top
S49,252.365938,-182.381039,0.0,top
S5,139.585786,-95.785786,0.0,top
S50,250.585786,-97.785786,0.0,top
S51,250.585786,-116.785786,0.0,top
S52,250.585786,-135.785786,0.0,top
S53,250.585786,-154.785786,0.0,top
S54,225.64609,-188.035786,25.0,top
S6,158.585786,-97.785786,0.0,top
S7,63.585786,-122.785786,0.0,top
S8,82.585786,-122.785786,0.0,top
S9,101.585786,-112.785786,0.0,top
SW1,164.585786,-86.2,0.0,top
SW2,154.585786,-86.4,90.0,top
SW3,244.585786,-86.2,0.0,top
SW4,254.585786,-86.425,90.0,top
U1,178.495786,-94.408169,0.0,top
U3,230.585786,-94.385786,0.0,top
